state 0:  ["left","0"]
 	priority:41 -> actions: ["slow down"]
 	priority:26 -> actions: ["speed up","speed up"]
 	priority:18 -> actions: ["speed up","speed up","speed up"]
 	priority:16 -> actions: ["speed up","speed up","speed up","speed up"]
 	priority:12 -> actions: ["speed up","speed up","speed up","slow down"]
 	priority:12 -> actions: ["speed up","speed up","speed up","slow down","speed up","slow down"]
 	priority:10 -> actions: ["speed up","speed up","speed up","slow down","speed up","slow down","speed up","slow down"]
 	priority:9 -> actions: ["speed up"]
 	priority:7 -> actions: ["speed up","slow down","speed up","slow down"]
 	priority:7 -> actions: ["speed up","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down"]
 	priority:7 -> actions: ["speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down"]
 	priority:6 -> actions: ["speed up","speed up","slow down","speed up","slow down"]
 	priority:6 -> actions: ["speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down"]
 	priority:6 -> actions: ["speed up","slow down","speed up","slow down","speed up","slow down"]
 	priority:5 -> actions: ["speed up","speed up","speed up","speed up","speed up"]
 	priority:4 -> actions: ["speed up","speed up","speed up","speed up","slow down"]
 	priority:4 -> actions: ["speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down"]
 	priority:3 -> actions: ["speed up","speed up","speed up","speed up","speed up","slow down"]
 	priority:3 -> actions: ["speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down"]
 	priority:3 -> actions: ["speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down"]
 	priority:3 -> actions: ["speed up","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down"]
 	priority:3 -> actions: ["speed up","speed up","slow down"]
 	priority:3 -> actions: ["speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down"]
 	priority:2 -> actions: ["speed up","speed up","speed up","speed up","slow down","speed up","slow down"]
 	priority:2 -> actions: ["speed up","speed up","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down"]
 	priority:2 -> actions: ["slow down","speed up","speed up","speed up","speed up","speed up","speed up","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down"]
 	priority:2 -> actions: ["speed up","speed up","slow down","speed up"]
 	priority:2 -> actions: ["slow down","speed up","speed up","speed up","speed up","speed up","speed up","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","speed up"]
 	priority:2 -> actions: ["speed up","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down"]
 	priority:2 -> actions: ["speed up","slow down","slow down","slow down","slow down","slow down","speed up","slow down","speed up","slow down","speed up","slow down"]
 	priority:2 -> actions: ["speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up"]
 	priority:2 -> actions: ["speed up","speed up","speed up","speed up","slow down","speed up","slow down","speed up","slow down"]
 	priority:2 -> actions: ["speed up","speed up","speed up","speed up","speed up","speed up","speed up","speed up","speed up","speed up","speed up","speed up"]
 	priority:2 -> actions: ["speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up"]
 	priority:1 -> actions: ["speed up","speed up","speed up","speed up","speed up","speed up","speed up","speed up","speed up"]
 	priority:1 -> actions: ["speed up","slow down","speed up","slow down","slow down","slow down","slow down","slow down","slow down","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down"]
 	priority:1 -> actions: ["speed up","speed up","slow down","slow down","slow down","slow down","slow down"]
 	priority:1 -> actions: ["speed up","speed up","slow down","slow down","slow down","speed up","slow down"]
 	priority:1 -> actions: ["speed up","speed up","speed up","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down","speed up","slow down"]
 	priority:1 -> actions: ["speed up","slow down","speed up","slow down","speed up","speed up","speed up"]
